,CODE,NAME,X,Y
0,11110,종로구,126.98599999999999,37.599000000000004
1,11140,중구,126.9945,37.558
2,11170,용산구,126.9815,37.531499999999994
3,11200,성동구,127.0415,37.5505
4,11215,광진구,127.0855,37.548500000000004
5,11230,동대문구,127.05,37.584
6,11260,중랑구,127.0935,37.5955
7,11290,성북구,127.0235,37.607
8,11305,강북구,127.015,37.647000000000006
9,11320,도봉구,127.032,37.6665
10,11350,노원구,127.077,37.655
11,11380,은평구,126.925,37.617999999999995
12,11410,서대문구,126.93549999999999,37.582
13,11440,마포구,126.90899999999999,37.5625
14,11470,양천구,126.856,37.527
15,11500,강서구,126.8235,37.5655
16,11530,구로구,126.858,37.495999999999995
17,11545,금천구,126.9,37.460499999999996
18,11560,영등포구,126.914,37.5205
19,11590,동작구,126.944,37.4965
20,11620,관악구,126.944,37.465999999999994
21,11650,서초구,127.03800000000001,37.477000000000004
22,11680,강남구,127.06649999999999,37.496
23,11710,송파구,127.11449999999999,37.504999999999995
24,11740,강동구,127.146,37.548500000000004
25,26110,중구,129.0315,35.105999999999995
26,26140,서구,129.012,35.0965
27,26170,동구,129.04500000000002,35.128
28,26200,영도구,129.06400000000002,35.075
29,26230,부산진구,129.047,35.167500000000004
30,26260,동래구,129.08,35.207
31,26290,남구,129.0955,35.126000000000005
32,26320,북구,129.025,35.232
33,26350,해운대구,129.159,35.201499999999996
34,26380,사하구,128.9395,35.057
35,26410,금정구,129.091,35.257999999999996
36,26440,강서구,128.91250000000002,35.0595
37,26470,연제구,129.0815,35.1785
38,26500,수영구,129.1135,35.161500000000004
39,26530,사상구,128.98899999999998,35.159
40,26710,기장군,129.2075,35.286
41,27110,중구,128.5945,35.867
42,27140,동구,128.6825,35.933499999999995
43,27170,서구,128.5495,35.875
44,27200,남구,128.582,35.8335
45,27230,북구,128.56799999999998,35.931
46,27260,수성구,128.66,35.834
47,27290,달서구,128.528,35.8215
48,27710,달성군,128.5235,35.713
49,27720,군위군,128.655,36.167
50,28110,중구,126.443,37.373000000000005
51,28140,동구,126.642,37.482
52,28177,미추홀구,126.666,37.457
53,28185,연수구,126.645,37.3905
54,28200,남동구,126.7235,37.43
55,28237,부평구,126.72550000000001,37.494
56,28245,계양구,126.738,37.559
57,28260,서구,126.6565,37.5545
58,28710,강화군,126.3245,37.697500000000005
59,28720,옹진군,125.9925,37.0295
60,29110,동구,126.9555,35.119
61,29140,서구,126.8555,35.135000000000005
62,29155,남구,126.8415,35.102000000000004
63,29170,북구,126.9285,35.1895
64,29200,광산구,126.7535,35.164500000000004
65,30110,동구,127.487,36.317
66,30140,중구,127.413,36.2785
67,30170,서구,127.342,36.2775
68,30200,유성구,127.3335,36.382000000000005
69,30230,대덕구,127.4465,36.409
70,31110,중구,129.304,35.572
71,31140,남구,129.313,35.508
72,31170,동구,129.423,35.522000000000006
73,31200,북구,129.3765,35.598
74,31710,울주군,129.1715,35.5275
75,36110,세종특별자치시,127.2695,36.570499999999996
76,41111,수원시 장안구,127.001,37.3185
77,41113,수원시 권선구,126.9845,37.263999999999996
78,41115,수원시 팔달구,127.01050000000001,37.275
79,41117,수원시 영통구,127.06049999999999,37.2765
80,41131,성남시 수정구,127.10900000000001,37.436
81,41133,성남시 중원구,127.1565,37.44
82,41135,성남시 분당구,127.1025,37.375
83,41150,의정부시,127.0745,37.734
84,41171,안양시 만안구,126.90950000000001,37.4045
85,41173,안양시 동안구,126.95500000000001,37.400999999999996
86,41190,부천시,126.7875,37.504999999999995
87,41210,광명시,126.863,37.448
88,41220,평택시,126.9665,37.0235
89,41250,동두천시,127.0805,37.920500000000004
90,41271,안산시 상록구,126.8775,37.322500000000005
91,41273,안산시 단원구,126.4485,37.1015
92,41281,고양시 덕양구,126.87700000000001,37.66
93,41285,고양시 일산동구,126.794,37.6815
94,41287,고양시 일산서구,126.72550000000001,37.6775
95,41290,과천시,127.00399999999999,37.4345
96,41310,구리시,127.136,37.601
97,41360,남양주시,127.22999999999999,37.6435
98,41370,오산시,127.0475,37.163
99,41390,시흥시,126.75550000000001,37.39
100,41410,군포시,126.9175,37.342
101,41430,의왕시,126.9885,37.358
102,41450,하남시,127.213,37.5305
103,41461,용인시 처인구,127.26849999999999,37.222
104,41463,용인시 기흥구,127.12049999999999,37.269999999999996
105,41465,용인시 수지구,127.07900000000001,37.332499999999996
106,41480,파주시,126.8385,37.849000000000004
107,41500,이천시,127.48400000000001,37.201499999999996
108,41550,안성시,127.309,37.025
109,41570,김포시,126.549,37.602
110,41590,화성시,126.539,37.108000000000004
111,41610,광주시,127.2895,37.4005
112,41630,양주시,127.012,37.805499999999995
113,41650,포천시,127.2685,37.9675
114,41670,여주시,127.5835,37.288
115,41800,연천군,126.996,38.084999999999994
116,41820,가평군,127.44200000000001,37.811
117,41830,양평군,127.577,37.5185
118,43111,청주시 상당구,127.60749999999999,36.569
119,43112,청주시 서원구,127.4375,36.5475
120,43113,청주시 흥덕구,127.37899999999999,36.6435
121,43114,청주시 청원구,127.4685,36.712500000000006
122,43130,충주시,127.89249999999998,37.0045
123,43150,제천시,128.1275,37.035
