구분,주거용,업무용,,,산업용,,,,,,,,,,,,,,,,,,,,,,합계
,,공공용,서비스업,업무용 계,농림어업,광업,제조업,,,,,,,,,,,,,,,,,,,산업용 계,
,,,,,,,식료품제조,"섬유,의류","목재,나무","펄프,종이","출판,인쇄","석유,화확","의료,광학",요업,1차금속,조립금속,기타기계,사무기기,전기기기,"영상,음향",자동차,기타운송,가구및기타,재생재료,제조업 계,,
강원,2060563,1496465,6440282,7936747,659119,390573,573432,12511,19669,26688,6256,171070,3331559,1173120,34939,34783,1230,38105,43362,95290,114344,105803,13228,3444,5798834,6848525,16845836
개성,38,905,462,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405
경기,18016468,5763235,35624159,41387394,2542274,282987,2689858,2064020,506903,1948427,741504,7212458,1760748,1950044,2306630,3665509,289779,991343,27523462,1438531,2882041,91287,2262714,141573,60466831,63292092,122695954
경남,4482335,1465602,8964391,10429993,2250820,71211,964238,349410,59197,819649,29199,1856222,422186,3773551,1722046,1937504,6253,914718,495620,210861,2160452,1820021,330995,52131,17924252,20246284,35158611
경북,3498309,1648638,8797602,10446240,1896130,208318,596336,3687009,73918,355211,46291,3876348,1249751,10600485,936150,805821,9332,776809,4016060,229869,2369799,131929,70297,78402,29909816,32014265,45958813
광주,2056435,577510,3269199,3846709,76172,1715,166445,260002,6674,41513,21212,356148,20633,68420,157414,189711,4851,228530,705842,30472,493474,5032,19971,16437,2792780,2870668,8773811
대구,3314918,863982,5638846,6502828,71615,5778,213194,993922,17270,453701,48369,417796,70587,301855,661371,523321,60030,187830,203210,98691,1380594,61354,44021,43494,5780610,5858003,15675749
대전,1970225,1031276,4097600,5128876,31998,884,204559,40700,4308,526741,14751,631287,52940,52884,66372,83155,2631,82110,393344,98417,213216,6389,40964,2073,2516844,2549723,9648827
부산,4660700,1345988,7759743,9105731,121838,20964,566522,491938,45873,27143,30524,438702,77868,2111136,882789,933381,1350,123522,94292,76252,1113457,234298,45924,12401,7307372,7450174,21216605
서울,13766796,3718778,28578925,32297703,15917,2609,229253,488136,4182,43045,286034,125217,26475,14342,62572,152454,3544,15107,30349,62343,20374,21986,138756,3016,1727185,1745711,47810210
세종,470529,317409,713683,1031092,78781,13123,106664,30323,1281,347929,3512,260886,335581,29507,11272,26405,14870,37422,170392,28823,81530,0,5048,2723,1494167,1586072,3087692
울산,1552259,506776,3778479,4285255,83071,16310,186906,927959,15023,611732,3599,16370659,189783,4978439,414534,175295,4563,437510,29138,22069,2446863,990473,4765,1965,27811274,27910656,33748169
인천,4112199,951152,7607166,8558318,149307,44716,666231,64572,612474,56886,75683,1642427,175357,2163167,716776,940596,4849,166539,1075971,2565989,579775,54170,465230,30696,12057387,12251411,24921927
전남,2380293,995477,5883248,6878725,3268746,65946,543339,162225,26646,97340,7541,13919722,569753,5046479,124601,66931,1669,220142,39625,50702,67358,530082,17128,33397,21524679,24859372,34118389
전북,2431432,1132037,5140313,6272350,1528635,62903,1579992,673581,293534,1171613,9028,4247176,602228,2199688,138741,157439,2196,136972,436579,79406,784778,37081,14956,101650,12666639,14258176,22961959
제주,831090,315891,2436214,2752105,1433981,4556,159220,5855,1330,21163,2503,20285,22317,965,3126,1309,0,747,8,7672,815,488,1973,1094,250871,1689407,5272603
충남,2897959,1135633,7388133,8523766,2112522,168165,1276235,259433,135096,782828,50639,8240418,868752,9936452,576877,645197,9547,751827,11474270,877483,2281033,36090,89901,18217,38310294,40590982,52012706
충북,2184680,1301822,5070249,6372071,805163,117622,1227836,323804,51634,900767,27820,2529627,2370494,469658,767611,368358,15800,1304540,4373790,646130,628985,58924,651872,42708,16760359,17683143,26239895
합계,70687228,24568576,147188694,171757270,17126089,1478380,11950259,10835400,1875012,8232375,1404465,62316445,12147012,44870195,9583821,10707169,432495,6413772,51105313,6619000,17618889,4185406,4217742,585423,265100194,283704662,526149161
