구분,주거용,업무용,,,산업용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합계
,,공공용,서비스업,업무용 계,농림어업,광업,제조업,,,,,,,,,,,,,,,,,,,,,,,,,,산업용 계,
서울,14656127,3575378,27499011.276,31074389.276,19189,1902,229769.803,15591.973,88.126,108992.312,310266.464,21501.572,4201.089,37772.636,204727.054,3192.978,42367.849,16637.795,49866.607,24755.555,12425.138,51333.003,62799.03,43783.07,19253.026,136042.921,16929.964,19758.12,3520.04,107280.457,1343.142,1544199.724,1565290.724,47295807
세종,612111,342947,1520210.943,1863157.943,90952,11510,110528.604,9362.895,0,26896.298,282.585,2243.125,1197.21,370161.996,3865.719,316.607,147509.894,44001.302,127578.955,396789.471,39712.44,12525.026,234153.031,2680.665,70821.379,32800.926,78725.084,135.883,468.701,4547.633,326.628,1717632.057,1820094.057,4295363
울산,1638730,505195,3497844.115,4003039.115,90321,15117,181879.43,15115.253,0,794737.83,911.432,418.254,17619.595,580986.534,3633.187,6085161.153,11015276.206,4407.809,596678.137,175946.619,4100922.621,192939.625,35983.588,18489.967,570875.631,181995.08,2265966.939,1003006.057,1214.958,799.927,950.053,27845915.885,27951353.885,33593123
인천,4586787,943788,7572381,8516169,166780,87829,647223.396,14937.415,12.518,38271.724,12711.188,6929.263,513450.228,50909.362,86836.288,901501.957,366478.427,327459.869,276271.801,196272.525,1985354.847,624201.383,1307722.169,2021417.318,185469.19,893800.103,502176.895,51922.434,114586.304,414074.042,3637.39,11543628.036,11798237.036,24901193.036
전남,2578822,1373405,5739917.372,7113322.372,3461170,82528,850474.24,22894.431,0,168119.947,4426.103,604.989,24364.891,96800.711,1916.233,1782674.727,11517313.439,49400.727,370081.306,567605.565,3384074.414,136577.533,55441.208,12480.095,460652.315,68092.531,66655.242,583009.789,7495.41,6262.989,13624.793,20251043.628,23794741.628,33486886
전북,2588903,1082470,5146076.37,6228546.37,1704721,69757,1671103.295,112873.912,0,667958.652,13568.397,5780.476,264413.833,1072649.599,8464.173,3756.884,2048646.207,34447.791,250996.337,616045.821,2318215.188,133950.425,459812.827,27410.128,158571.748,164707.783,796880.043,39753.634,4522.645,15023.797,5380.035,10894933.63,12669411.63,21486861
제주,971492,333656,2626847.775,2960503.775,1445104,7547,106056.62,84441.114,0,486.831,146.475,16.287,1500.253,25087.587,1321.554,41.355,28014.576,7876.081,6422.627,26328.693,2638.55,2682.706,1523.495,786.603,870.837,2263.035,292.187,378.102,1252.498,1396.593,1258.566,303083.225,1755734.225,5687730
충남,3184715,1121942,7230647.741,8352589.741,2291760,341587,1341883.624,84891.843,13.822,171809.549,9212.904,15623.693,130427.723,778567.031,48617.145,4368299.077,3907124.93,270490.105,1106866.79,893662.727,4722810.793,564207.034,11086797.251,631218.578,917515.188,766499.758,2690227.214,32899.324,9274.365,76101.065,5932.726,34630974.259,37264321.259,48801626
충북,2385627,1360538,5365193.411,6725731.411,920412,128817,1211162.45,140690.051,5796.129,179525.796,5749.063,61387.379,59293.785,839134.673,34065.153,15947.229,1786806.145,717011.612,1152168.311,2294048.765,391285.197,805879.487,5191665.748,87311.176,1477415.514,444624.638,711643.146,15740.964,29410.484,578662.57,5050.124,18241475.589,19290704.589,28402063
합계,77558386,25025912,148181596.732,173207508.732,18496161,1806892,12114429.424,1228555.352,193631.967,8165706.359,594224.031,472188.705,1760583.516,8009898.692,1204470.446,13281371.636,41256267.996,2675767.305,9473458.215,11700451.996,35043680.472,8764295.064,57788475.724,4143843.799,7710494.913,11131486.652,17983076.446,4103123.51,702198.513,2780809.635,79372.68,262361863.048,282664916.048,533430810.78
