구분,주거용,업무용,,,산업용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합계
,,공공용,서비스업,업무용 계,농림어업,광업,제조업,,,,,,,,,,,,,,,,,,,,,,,,,,산업용 계,
,,,,,,,식료품,음료,담배,섬유제품,"의복,모피","가죽,가방","목재,나무","펄프,종이","인쇄,매체","연탄,석유",화학,"의료,의약",플라스틱,비금속,1차금속,금속가공,"전자,통신","의료,광학",전기장비,기타기계,자동차,기타운송,가구,기타제품,산업기계,제조업 계,,
강원,2289719,1478686,6398540.587,7877226.587,783547,452010,506909.83,116977.819,5.442,13922.593,1176.505,269.37,23564.393,24746.539,3677.634,1257.364,92586.17,105608.886,94009.41,3049750.104,944326.365,34830.573,58655.104,37216.476,37035.136,30084.415,173438.324,37589.329,6872.388,7981.533,3011.711,5405503.413,6641060.413,16808006
개성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기,20775255,5941474,37299472.145,43240946.145,2712094,271724,2742041.908,305585.652,3204.159,1474890.123,137026.71,175447.013,500613.273,1909845.141,673633.147,41938.927,5984297.725,956292.333,2308095.312,1792694.019,1980013.786,2158925.443,33034900.636,597352.373,1115707.16,3927790.434,2905822.41,80430.238,442025.507,1181053.51,16301.916,66445928.855,69429746.855,133445948
경남,4826057,1437292,9042659.616,10479951.616,2369741,68712,873590.935,124395.126,71916.653,207625.595,6138.046,63852.541,64470.532,794445.555,21711.257,11009.174,782245.802,10192.331,1094643.962,432309.602,3722343.591,1618947.29,630792.564,242549.772,957697.648,1887575.713,2242292.193,1822115.996,22046.801,273971.544,10717.161,17989597.384,20428050.384,35734059
경북,3709248,1706260,8788905.05,10495165.05,2135822,228781,559796.018,77073.105,34051.25,3145233.933,10061.489,6773.804,82622.264,347647.848,13734.858,46461.032,2775866.839,46963.746,939909.233,993358.044,9051155.694,806988.438,4149463.462,186290.643,980589.867,821257.408,2424073.616,134833.63,24382.659,25114.845,5577.225,27689280.95,30053883.95,44258297
광주,2215918,568578,3272320,3840898,76903,3490,135456.051,41625.985,14126.765,140867.13,1800.865,153.814,6315.619,50884.023,18402.102,624.241,69093.459,2223.818,316138.607,22429.347,54321.269,164353.304,816994.33,28649.633,233906.922,202560.869,500346.882,6020.025,5048.064,2155.123,1738.821,2836237.068,2916630.068,8973446.068
대구,3461331,866403,5562421.303,6428824.303,79759,15128,215988.491,22340.643,33.71,734601.703,39971.606,4096.763,16502.162,459702.797,38962.236,13055.794,190596.9,15069.483,215194.279,76779.068,280565.948,612019.588,259983.164,90829.574,297137.682,490896.258,1286734.379,48875.013,15858.74,31555.873,1554.843,5458906.697,5553793.697,15443949
대전,2102655,1107741,4112045,5219786,37039,877,141766.032,18494.872,64379.078,30572.785,2398.774,2895.991,4701.908,540987.743,14820.996,617.918,227197.123,54673.402,374947.571,52176.613,48357.995,57160.582,298832.787,47502.895,89023.531,94758.914,190949.458,8037.976,4032.069,18654.497,322.166,2388263.676,2426179.676,9748620.676
부산,4974889,1280159,7507103.028,8787262.028,110847,19576,588798.697,21263.263,4.315,261193.558,38375.425,104194.371,45324.758,29568.917,26081.71,5515.219,274846.305,13010.215,193588.97,89499.458,2005156.636,786773.624,102955.33,67874.833,137952.139,985735.866,1129922.47,218616.996,10186.88,36173.637,2645.38,7175258.972,7305681.972,21067833
